Mês;Tag;Evento / Celebração;Data de Início;Data Final;Duração;Horário;Descrição;Tags (Público-Alvo)
Agosto;Desenvolvimento Humano Organizacional;Fechamento | Inova;06/08/2026;06/08/2026;2h;15h-17h;Encerramos o Inova com a apresentação de ideias e projetos voltados à inovação e melhoria contínua. Participe e prestigie os projetos!;Todos
Agosto;Desenvolvimento Humano Organizacional;Live EMR;06/08/2026;06/08/2026;1h;17h-18h;Transmissão ao vivo para todos os colaboradores. Espaço para anúncios importantes, novidades de G&G e atualizações gerais da empresa. Fique por dentro de tudo o que está acontecendo!;Todos
Agosto;Data Comemorativa;Dia dos Pais;09/08/2026;09/08/2026;Dia todo;Dia todo;Dia de celebrar quem faz a diferença em nossa história. Teremos uma ação especial para marcar esta data e fortalecer nossos laços. Fique atento às surpresas!;Todos
Agosto;Reunião;Reunião de Lideranças EMR;10/08/2026;10/08/2026;1h;14h-15h;Reunião com as lideranças para apresentar os resultados de ENPS e dar orientações sobre a AD;Líder, G&G
Agosto;Palestra;Palestra UNIT (Goiania - PE);13/08/2026;13/08/2026;Dia todo;Dia todo;Palestra promovida pela UNIT em Goiânia (PE).;Todos
Agosto;Desenvolvimento Humano Organizacional;PodFalaRH;14/08/2026;14/08/2026;45min;16h-17h;Nosso podcast interno! Um bate-papo leve e informativo sobre temas que impactam nosso dia a dia, bem-estar e cultura organizacional. Sintonize e participe.;Todos
Agosto;Circuito;Circuito EMR ENAMED - Paraíba 2;15/08/2026;15/08/2026;Dia todo;Dia todo;Evento do Circuito EMR ENAMED na Paraíba.;Todos
Agosto;Profissão;Dia do Estagiário;18/08/2026;18/08/2026;Dia todo;Dia todo;Parabéns a quem traz energia nova;Todos
Agosto;Data Comemorativa;Ação de Dia dos Pais;20/08/2026;20/08/2026;1h;14h-15h30;Dia de celebrar quem faz a diferença em nossa história. Teremos uma ação especial para marcar esta data e fortalecer nossos laços. Fique atento às surpresas!;Pai, G&G
Agosto;Circuito;Circuito EMR ENAMED - AM;22/08/2026;22/08/2026;Dia todo;Dia todo;Evento do Circuito EMR ENAMED no Amazonas.;Todos
Agosto;Profissão;Dia do Psicólogo;27/08/2026;27/08/2026;Dia todo;Dia todo;Homenagem aos profissionais focados em compreender a mente humana;Todos
Agosto;Reunião;Reunião Geral;28/08/2026;28/08/2026;2h30;14h-16h30;Encontro periódico com todos os colaboradores para alinhamento estratégico, compartilhamento de resultados, prioridades do período e mensagens-chave da liderança, fortalecendo a transparência, o senso de direção e a conexão com os objetivos do negócio.;Todos
Agosto;Circuito;Circuito EMR SES-PE - Pernambuco 2;29/08/2026;29/08/2026;Dia todo;Dia todo;Evento do Circuito EMR SES-PE em Pernambuco.;Todos
Agosto;Simulado;Simulado Inspirali - UniFG Guanambi;31/08/2026;31/08/2026;Dia todo;Dia todo;Simulado Inspirali na UniFG Guanambi.;Todos
Agosto;Simulado;Simulado Inspirali - UniFG Brumado;31/08/2026;31/08/2026;Dia todo;Dia todo;Simulado Inspirali na UniFG Brumado.;Todos
Agosto;Simulado;Simulado Inspirali - UnP;31/08/2026;31/08/2026;Dia todo;Dia todo;Simulado Inspirali na UnP.;Todos
Setembro;Avaliação;Avaliação de Desempenho;01/09/2026;18/09/2026;45min;Dia todo;Início do período de avaliação formal. Gestores, este é o momento de analisar o desempenho de cada liderado, preparando os insumos para a etapa de calibragem e devolutiva;Líder, G&G
Setembro;Desenvolvimento Humano Organizacional;1:1 PDI;01/09/2026;01/09/2026;1h;Dia todo;1:1 de desenvolvimento é um encontro periódico entre líder e liderado com foco na evolução profissional, no fortalecimento de competências e no alinhamento de expectativas de carreira, indo além das demandas operacionais do dia a dia. Seu objetivo é apoiar o crescimento do colaborador por meio de feedback contínuo, reflexão sobre desafios, definição de metas de desenvolvimento e acompanhamento de progresso, promovendo autonomia, engajamento e performance sustentável.;Líder, G&G
Setembro;Avaliação;Pulse da Liderança;01/09/2026;18/09/2026;Dia todo;Dia todo;Sua opinião ajuda a construir lideranças melhores! Chegou o momento de responder à Pesquisa Pulse. Reserve alguns minutos para avaliar as práticas de liderança de forma sincera e confidencial. Participe: https://eu-medico-residente.impulseup.com/;Todos
Setembro;Campanha Mensal;Setembro Amarelo;01/09/2026;01/09/2026;Dia todo;Dia todo;Mês dedicado à valorização da vida e à prevenção do suicídio. Ações focadas em saúde mental escuta ativa e apoio psicológico no ambiente de trabalho.;Todos
Setembro;ENAMED;ENAMED DAY - FMO;03/09/2026;03/09/2026;Dia todo;Dia todo;Evento ENAMED DAY na FMO.;Todos
Setembro;Feriado Nacional;Feriado | Independência do Brasil;07/09/2026;07/09/2026;Dia todo;Dia todo;Feriado nacional da Independência do Brasil.;Todos
Setembro;ENAMED;ENAMED DAY - Inspirali (Mooca, Unifacs, UniBH);08/09/2026;08/09/2026;Dia todo;Dia todo;Evento ENAMED DAY nas filiais da Inspirali.;Todos
Setembro;ENAMED;ENAMED DAY - Mandic (PE);09/09/2026;09/09/2026;Dia todo;Dia todo;Evento ENAMED DAY na Mandic em Pernambuco.;Todos
Setembro;Profissão;Dia do Profissional Financeiro;09/09/2026;09/09/2026;Dia todo;Dia todo;Reconhecimento aos profissionais que planejam;Todos
Setembro;Comitê;Pre-work (Comitê);11/09/2026;11/09/2026;Dia todo;Dia todo;Este encontro é dedicado à consolidação estratégica das informações que serão apresentadas na RG. O objetivo é revisar os indicadores, validar os slides e alinhar os discursos entre os membros do comitê, garantindo que todos os dados estejam precisos e prontos para a tomada de decisão. Favor trazer os materiais de sua área atualizados para o fechamento do deck final.;Líder, G&G
Setembro;Profecia;Profecia ENAMED Nacional;12/09/2026;12/09/2026;Dia todo;Dia todo;Evento especial do Bloco ENAMED Nacional.;Todos
Setembro;Porta de Prova;Porta de Prova ENAMED (CE, BA, PB, PE, MA, PI, RN, AL, SE, AM, PA, MG, SP);13/09/2026;13/09/2026;Dia todo;Dia todo;Porta de prova ENAMED de âmbito nacional.;Todos
Setembro;Cultura;Café com o CEO;16/09/2026;16/09/2026;1h30;14h-15h30;Um encontro próximo e descontraído com o nosso CEO. Espaço aberto para perguntas, troca de ideias e para conhecer mais sobre a visão estratégica da empresa em um ambiente informal.;Líder, G&G
Setembro;B2B;FNESP (SP);16/09/2026;17/09/2026;2 dias;Dia todo;Evento B2B FNESP em São Paulo.;Parceiros de Negócio
Setembro;Ritual de Comitês;Comitê de Saúde Mental;24/09/2026;24/09/2026;1h;15h00-16h00;Setembro Amarelo: Painel e debate sobre bem-estar emocional, prevenção ao burnout e equilíbrio vida-trabalho.;Todos
Setembro;Café Temático;Café & Conexão: Hábitos e Rotina;17/09/2026;17/09/2026;30min;14h30-15h;Conversa leve sobre trocas de experiências e dicas de rotina de trabalho remoto saudável.;Todos
Setembro;B2B;COBEM (POA);17/09/2026;20/09/2026;4 dias;Dia todo;Congresso Brasileiro de Educação Médica em Porto Alegre.;Profissionais e Acadêmicos
Setembro;Circuito;Circuito EMR UEPA - Pará 2;19/09/2026;19/09/2026;Dia todo;Dia todo;Evento autoral do Circuito EMR UEPA no Pará (Fase 2).;Todos
Setembro;Desenvolvimento Humano Organizacional;PodFalaRH;19/09/2026;19/09/2026;1h;16h-17h;Nosso podcast interno! Um bate-papo leve e informativo sobre temas que impactam nosso dia a dia, bem-estar e cultura organizacional. Sintonize e participe.;Todos
Setembro;Reunião;Calibragem ADs + Escolha de Promovidos;21/09/2026;25/09/2026;2h;Dia todo;Reunião estratégica entre lideranças e G&G para revisão técnica das Avaliações de Desempenho. O objetivo é equalizar os critérios de avaliação entre as áreas, garantindo justiça e meritocracia na validação final das notas e na definição dos colaboradores elegíveis a promoções e movimentações de carreira para este ciclo.;Líder, G&G
Setembro;Profissão;Dia do Contador;22/09/2026;22/09/2026;Dia todo;Dia todo;Dia de celebrar quem cuida da saúde financeira e da conformidade da nossa estrutura com precisão e dedicação.;Todos
Setembro;Games;Game 1: Gartic & Desenho em Equipe;22/09/2026;22/09/2026;40min;16h00-16h40;Descontração e integração interdepartamental através de adivinhações e desenhos em tempo real.;Todos
Setembro;Reunião;Devolutiva da AD (Lideranças);28/09/2026;09/10/2026;1h;Dia todo;Reunião individual para fechamento do ciclo de Avaliação de Desempenho. O foco é realizar a entrega formal dos feedbacks, discutir os pontos de destaque e as oportunidades de melhoria identificadas. Este encontro servirá como base para a estruturação do próximo PDI, conectando sua performance atual aos seus objetivos de carreira na empresa.;Líder, G&G
Setembro;Profissão;Dia da Secretária;30/09/2026;30/09/2026;Dia todo;Dia todo;Homenagem e reconhecimento às profissionais que garantem a organização e o suporte essencial do nosso dia a dia.;Todos
Outubro;Campanha Mensal;Outubro Rosa;01/10/2026;01/10/2026;Dia todo;Dia todo;Campanha mundial de conscientização e prevenção ao câncer de mama. Espaço para compartilhar informações essenciais e incentivar o autocuidado.;Todos
Outubro;Desenvolvimento Humano Organizacional;PDI;01/10/2026;16/10/2026;1h;Dia todo;Momento dedicado ao seu crescimento. Revise competências (relatório da AD disponível na ImpulseUp) e objetivos de carreira para montar o seu PDI. Tempo estimado de 45 minutos para montar o seu PDI.;Todos
Outubro;Profissão;Dia do Vendedor;01/10/2026;01/10/2026;Dia todo;Dia todo;Dia de celebrar nossa força de vendas! Parabéns a quem constrói pontes com clientes e impulsiona nossos resultados.;Todos
Outubro;Data Comemorativa;Dia do Pet;04/10/2026;04/10/2026;Dia todo;Dia todo;Dia de celebrar nossos companheiros de quatro patas! Compartilhe fotos do seu pet nos canais da empresa e participe da nossa dinâmica especial.;Todos
Outubro;Desenvolvimento Humano Organizacional;Live EMR;05/10/2026;05/10/2026;1h;17h-18h;Transmissão ao vivo para todos os colaboradores. Espaço para anúncios importantes, novidades de G&G e atualizações gerais da empresa. Fique por dentro de tudo o que está acontecendo!;Todos
Outubro;Desenvolvimento Humano Organizacional;1:1 PDI;06/10/2026;06/10/2026;1h;Dia todo;1:1 de desenvolvimento é um encontro periódico entre líder e liderado com foco na evolução profissional, no fortalecimento de competências e no alinhamento de expectativas de carreira, indo além das demandas operacionais do dia a dia. Seu objetivo é apoiar o crescimento do colaborador por meio de feedback contínuo, reflexão sobre desafios, definição de metas de desenvolvimento e acompanhamento de progresso, promovendo autonomia, engajamento e performance sustentável.;Líder, G&G
Outubro;Café Temático;Café & Conexão: Hobbies Desconhecidos;08/10/2026;08/10/2026;30min;14h30-15h;Momento para os colaboradores compartilharem talentos e paixões fora do expediente.;Todos
Outubro;Circuito;Circuito EMR SUS-BA - Bahia 2;10/10/2026;10/10/2026;Dia todo;Dia todo;Evento autoral do Circuito EMR SUS-BA na Bahia.;Todos
Outubro;Feriado Nacional;Feriado | Nossa Senhora Aparecida;12/10/2026;12/10/2026;Dia todo;8h-18h;Nossa Senhora Aparecida (Nacional);Todos
Outubro;Feriado Nacional;Feriado | Nossa Sra. Aparecida / Crianças;12/10/2026;12/10/2026;Dia todo;Dia todo;Feriado nacional de Nossa Senhora Aparecida.;Todos
Outubro;B2B;Evento Facape (Clinivale);15/10/2026;18/10/2026;4 dias;Dia todo;Evento B2B na Facape (Clinivale).;Parceiros de Negócio
Outubro;Profissão;Dia do Professor;15/10/2026;15/10/2026;Dia todo;Dia todo;Nossa profunda admiração e agradecimento a quem compartilha conhecimento e transforma realidades através da educação.;Todos
Outubro;Desenvolvimento Humano Organizacional;PodFalaRH;16/10/2026;16/10/2026;1h;16h-17h;Nosso podcast interno! Um bate-papo leve e informativo sobre temas que impactam nosso dia a dia, bem-estar e cultura organizacional. Sintonize e participe.;Todos
Outubro;Profissão;Dia do Médico;18/10/2026;18/10/2026;Dia todo;Dia todo;Uma homenagem especial à profissão que está no coração do nosso negócio. Parabéns pelo cuidado e dedicação à vida!;Todos
Outubro;Profissão;Dia do Profissional de TI;19/10/2026;19/10/2026;Dia todo;Dia todo;Parabéns ao time técnico que mantém nossa operação no ar;Todos
Outubro;Ritual de Comitês;Comitê das Mulheres;22/10/2026;22/10/2026;1h;15h00-16h00;Outubro Rosa: Roda de conversa sobre equidade de gênero, saúde da mulher e desenvolvimento profissional.;Todos
Outubro;B2C;Evento Outubro Médico;30/10/2026;31/10/2026;2 dias;Dia todo;Evento direcionado ao público médico.;Médicos e Acadêmicos
Novembro;Feriado Nacional;Feriado | Finados;02/11/2026;02/11/2026;Dia todo;Dia todo;Feriado nacional de Finados.;Todos
Novembro;Desenvolvimento Humano Organizacional;1:1 PDI;03/11/2026;03/11/2026;1h;Dia todo;1:1 de desenvolvimento é um encontro periódico entre líder e liderado com foco na evolução profissional, no fortalecimento de competências e no alinhamento de expectativas de carreira, indo além das demandas operacionais do dia a dia. Seu objetivo é apoiar o crescimento do colaborador por meio de feedback contínuo, reflexão sobre desafios, definição de metas de desenvolvimento e acompanhamento de progresso, promovendo autonomia, engajamento e performance sustentável.;Líder, G&G
Novembro;Profissão;Dia do Designer Gráfico;05/11/2026;05/11/2026;Dia todo;Dia todo;Homenagem aos responsáveis por traduzir nossas ideias;Todos
Novembro;Cultura;Café com o CEO;11/11/2026;11/11/2026;1h30;14h-15h30;Um encontro próximo e descontraído com o nosso CEO. Espaço aberto para perguntas, troca de ideias e para conhecer mais sobre a visão estratégica da empresa em um ambiente informal.;Culture, CEO, G&G
Novembro;Café Temático;Café & Conexão: Memórias e Histórias;12/11/2026;12/11/2026;30min;14h30-15h;Bate-papo informal sobre histórias engraçadas, viagens inesquecíveis e momentos marcantes.;Todos
Novembro;Profecia;Profecia AMRIGS - Rio Grande do Sul;13/11/2026;13/11/2026;Dia todo;Dia todo;Evento de véspera AMRIGS no Rio Grande do Sul.;Todos
Novembro;Data Comemorativa;Dia Nacional da Gentileza;13/11/2026;13/11/2026;Dia todo;Dia todo;Gentileza gera gentileza! Dia dedicado a pequenas ações positivas, feedbacks de reconhecimento e fortalecimento do nosso clima de parceria.;Todos
Novembro;Desenvolvimento Humano Organizacional;PodFalaRH;13/11/2026;13/11/2026;1h;16h-17h;Nosso podcast interno! Um bate-papo leve e informativo sobre temas que impactam nosso dia a dia, bem-estar e cultura organizacional. Sintonize e participe.;Todos
Novembro;Porta de Prova;Porta de Prova AMRIGS - Rio Grande do Sul;14/11/2026;14/11/2026;Dia todo;Dia todo;Ação de porta de prova da AMRIGS.;Todos
Novembro;Feriado Nacional;Feriado | Proclamação da República;15/11/2026;15/11/2026;Dia todo;Dia todo;Feriado nacional da Proclamação da República.;Todos
Novembro;Ritual de Comitês;Comitê de Diversidade e Inclusão;18/11/2026;18/11/2026;1h;15h00-16h00;Consciência Negra: Discussão sobre letramento racial, diversidade, equidade e pertencimento na cultura.;Todos
Novembro;Feriado Nacional;Feriado | Consciência Negra;20/11/2026;20/11/2026;Dia todo;Dia todo;Feriado nacional do Dia da Consciência Negra.;Todos
Novembro;Profecia;Profecia SUS-BA - Bahia;21/11/2026;21/11/2026;Dia todo;Dia todo;Evento de véspera SUS-BA na Bahia.;Todos
Novembro;Porta de Prova;Porta de Prova SUS-BA - Bahia;22/11/2026;22/11/2026;Dia todo;Dia todo;Ação de porta de prova do SUS-BA.;Todos
Novembro;Games;Game 2: Trivia de Cultura Pop & EMR;27/11/2026;27/11/2026;40min;16h00-16h40;Competitividade saudável com quiz sobre curiosidades gerais e fatos marcantes da empresa.;Todos
Novembro;Profecia;Profecia PSU-MG - Minas Gerais;28/11/2026;28/11/2026;Dia todo;Dia todo;Evento de véspera PSU-MG em Minas Gerais.;Todos
Novembro;Autoral;Porta de Prova PSU-MG - Minas Gerais;29/11/2026;29/11/2026;Dia todo;Dia todo;Ação de porta de prova do PSU-MG.;Todos
Dezembro;Avaliação;Avaliação de Performance (AP);01/12/2026;14/12/2026;20min;Dia todo;Hora de avaliar o time! O objetivo deste momento é analisar o desempenho e as competências de cada liderado neste ciclo. Foque em evidências reais e prepare feedbacks construtivos que ajudem no desenvolvimento de cada um. Essa análise é a base para direcionamentos do trimestre.;Líder
Dezembro;Desenvolvimento Humano Organizacional;1:1 PDI;01/12/2026;01/12/2026;1h;Dia todo;1:1 de desenvolvimento é um encontro periódico entre líder e liderado com foco na evolução profissional, no fortalecimento de competências e no alinhamento de expectativas de carreira, indo além das demandas operacionais do dia a dia. Seu objetivo é apoiar o crescimento do colaborador por meio de feedback contínuo, reflexão sobre desafios, definição de metas de desenvolvimento e acompanhamento de progresso, promovendo autonomia, engajamento e performance sustentável.;Líder
Dezembro;Campanha Mensal;Dezembro Laranja;01/12/2026;01/12/2026;Dia todo;Dia todo;Campanha nacional de prevenção ao câncer de pele. Dicas e conscientização sobre cuidados com a saúde e a importância do uso de protetor solar.;Todos
Dezembro;Data Comemorativa;Dia Internacional da Pessoa com Deficiência;03/12/2026;03/12/2026;Dia todo;Dia todo;Dia de promover a conscientização a inclusão e a igualdade de oportunidades para todas as pessoas com deficiência dentro e fora da empresa.;Todos
Dezembro;Data Comemorativa;Dia Internacional do Voluntário;05/12/2026;05/12/2026;Dia todo;Dia todo;Homenagem aos que dedicam seu tempo e energia para fazer o bem. Celebração do impacto social e incentivo ao espírito de colaboração.;Todos
Dezembro;Desenvolvimento Humano Organizacional;Live EMR;07/12/2026;07/12/2026;1h;17h-18h;Transmissão ao vivo para todos os colaboradores. Espaço para anúncios importantes, novidades de G&G e atualizações gerais da empresa. Fique por dentro de tudo o que está acontecendo!;Todos
Dezembro;Feriado Municipal;Feriado | Nossa Senhora da Conceição;08/12/2026;08/12/2026;Dia todo;Dia todo;Nossa Senhora da Conceição (Municipal);Todos
Dezembro;Profecia;Profecia SES-PE - Pernambuco;09/12/2026;09/12/2026;Dia todo;Dia todo;Evento de véspera SES-PE em Pernambuco.;Todos
Dezembro;Porta de Prova;Porta de Prova SES-PE - Pernambuco;10/12/2026;10/12/2026;Dia todo;Dia todo;Ação de porta de prova do SES-PE.;Todos
Dezembro;Profecia;Profecia UEPA - Pará;16/12/2026;16/12/2026;Dia todo;Dia todo;Evento de véspera UEPA no Pará.;Todos
Dezembro;Café Temático;Café & Conexão: Retrospectiva do Ano;17/12/2026;17/12/2026;30min;14h30-15h;Encontro leve para celebrar conquistas individuais e coletivas do ano que se encerra.;Todos
Dezembro;Porta de Prova;Porta de Prova UEPA - Pará;17/12/2026;17/12/2026;Dia todo;Dia todo;Ação de porta de prova da UEPA.;Todos
Dezembro;Desenvolvimento Humano Organizacional;PodFalaRH;18/12/2026;18/12/2026;1h;16h-17h;Nosso podcast interno! Um bate-papo leve e informativo sobre temas que impactam nosso dia a dia, bem-estar e cultura organizacional. Sintonize e participe.;Todos
Dezembro;Ponto Facultativo;Véspera de Natal;24/12/2026;24/12/2026;Dia todo;Dia todo;Ponto facultativo referente à véspera de Natal. Boas festas a todos!;Todos
Dezembro;Feriado Nacional;Feriado | Natal;25/12/2026;25/12/2026;Dia todo;Dia todo;Feriado nacional de Natal.;Todos
Dezembro;Ponto Facultativo;Véspera de Ano Novo;31/12/2026;31/12/2026;Dia todo;Dia todo;Ponto facultativo referente à véspera de Ano Novo. Desejamos uma ótima passagem de ano!;Todos
Janeiro;Start na Aprovação;Start na Aprovação - SE;13/01/2027;13/01/2027;Dia todo;Dia todo;Evento de início de estudos em Sergipe.;Todos
Janeiro;Café Temático;Café & Conexão: Metas e Inspirações;14/01/2027;14/01/2027;30min;14h30-15h;Compartilhamento de desejos, aprendizados e projetos para o novo ano.;Todos
Janeiro;Start na Aprovação;Start na Aprovação - CE;20/01/2027;20/01/2027;Dia todo;Dia todo;Evento de início de estudos no Ceará.;Todos
Janeiro;Start na Aprovação;Start na Aprovação - PB;20/01/2027;20/01/2027;Dia todo;Dia todo;Evento de início de estudos na Paraíba.;Todos
Janeiro;Ritual de Comitês;Comitê de Saúde e Novos Começos;21/01/2027;21/01/2027;1h;15h00-16h00;Janeiro Branco: Encontro focado em planejamento pessoal sustentável, autocuidado e renovação de energias.;Todos
Janeiro;Start na Aprovação;Start na Aprovação - AL;27/01/2027;27/01/2027;Dia todo;Dia todo;Evento de início de estudos em Alagoas.;Todos
Janeiro;Start na Aprovação;Start na Aprovação - BA;27/01/2027;27/01/2027;Dia todo;Dia todo;Evento de início de estudos na Bahia.;Todos
Janeiro;Games;Game 3: Stop! / Adedanha Virtual;28/01/2027;28/01/2027;40min;16h00-16h40;Dinâmica rápida e animada para exercitar o raciocínio e conectar o time de forma descontraída.;Todos
fev./27;Café Temático;Café & Conexão: Recomendações e Dicas;11/02/2027;11/02/2027;30min;14h30-15h;Troca de sugestões de livros, filmes, séries, podcasts e cursos favoritos entre os colegas.;Todos
Fevereiro;Start na Aprovação;Start na Aprovação - MG;13/02/2027;13/02/2027;Dia todo;Dia todo;Evento de início de estudos em Minas Gerais.;Todos
fev./27;Ritual de Comitês;Comitê de Conscientização e Cuidado;18/02/2027;18/02/2027;1h;15h00-16h00;Fevereiro Roxo/Laranja: Ação voltada à conscientização sobre doenças crônicas, doação de medula e empatia.;Todos
Fevereiro;Start na Aprovação;Start na Aprovação - PE;23/02/2027;23/02/2027;Dia todo;Dia todo;Evento de início de estudos em Pernambuco.;Todos
Março;Start na Aprovação;Start na Aprovação - SP;06/03/2027;06/03/2027;Dia todo;Dia todo;Evento de início de estudos em São Paulo.;Todos
mar./27;Café Temático;Café & Conexão: Gastronomia e Receitas;11/03/2027;11/03/2027;30min;14h30-15h;Conversa descontraída sobre pratos favoritos, culinária regional e memórias afetivas através da comida.;Todos
mar./27;Ritual de Comitês;Comitê de Liderança Feminina;18/03/2027;18/03/2027;1h;15h00-16h00;Mês da Mulher: Debate sobre protagonismo feminino, carreira, desafios do mercado e mentoria.;Todos
Março;Start na Aprovação;Start na Aprovação - PA;20/03/2027;20/03/2027;Dia todo;Dia todo;Evento de início de estudos no Pará.;Todos
mar./27;Games;Game 4: Escape Room Virtual;25/03/2027;25/03/2027;40min;16h00-16h40;Desafio em salas temáticas remotas para resolução de enigmas focando em colaboração e trabalho em equipe.;Todos
Março;Start na Aprovação;Start na Aprovação - MA;30/03/2027;30/03/2027;Dia todo;Dia todo;Evento de início de estudos no Maranhão.;Todos
Abril;Start na Aprovação;Start na Aprovação - RN;10/04/2027;10/04/2027;Dia todo;Dia todo;Evento de início de estudos no Rio Grande do Norte.;Todos
abr./27;Café Temático;Café & Conexão: Pets e Plantas;15/04/2027;15/04/2027;30min;14h30-15h;Apresentação dos bichinhos de estimação e plantas dos colaboradores em um momento descontraído.;Todos
mai./27;Café Temático;Café & Conexão: Músicas e Playlists;13/05/2027;13/05/2027;30min;14h30-15h;Discussão sobre preferências musicais e criação de uma playlist colaborativa do time no Spotify.;Todos
mai./27;Ritual de Comitês;Comitê de Segurança e Bem-Estar;20/05/2027;20/05/2027;1h;15h00-16h00;Maio Amarelo: Foco em hábitos seguros, saúde no ambiente corporativo e comunicação transparente.;Todos
mai./27;Games;Game 5: Geoguessr / Onde Estou?;27/05/2027;27/05/2027;40min;16h00-16h40;Jogo de navegação e descoberta geográfica virtual para adivinhar cenários do Brasil e do mundo.;Todos
jun./27;Café Temático;Café & Conexão: Tradições e Festas;10/06/2027;10/06/2027;30min;14h30-15h;Bate-papo sobre celebrações regionais, festas populares e costumes culturais de cada região do país.;Todos
jun./27;Ritual de Comitês;Comitê de Diversidade e Pertencimento;17/06/2027;17/06/2027;1h;15h00-16h00;Mês do Orgulho LGBTQIA+: Diálogo sobre segurança psicológica, respeito à diversidade e alianças inclusivas.;Todos
jul./27;Café Temático;Café & Conexão: Aprendizado e Futuro;15/07/2027;15/07/2027;30min;14h30-15h;Conversa inspiradora sobre habilidades do futuro, novas tecnologias e curiosidades que o time está estudando.;Todos
jul./27;Games;Game 6: Gartic Phone / Telefone Sem Fio;22/07/2027;22/07/2027;40min;16h00-16h40;Dinâmica de desenhos e interpretações cômicas para gerar risadas e leveza entre os times.;Todos
jul./27;Ritual de Comitês;Comitê de Inovação e Saúde Integral;27/07/2027;27/07/2027;1h;15h00-16h00;Julho Amarelo / Inovação: Pauta unindo inovação em processos internos e cuidado preventivo com a saúde.;Todos
ago./27;Café Temático;Café & Conexão: Reconhecimento e Gratidão;12/08/2027;12/08/2027;30min;14h30-15h;Sessão para expressar agradecimentos e reconhecer a ajuda mútua entre colegas de projeto.;Todos
